Year,"Water quality in water bodies, according to hydrochemical indicators,%",Total,Spatial extent of water-related ecosystems,Amount (discharge) of water into rivers and estuaries,Quality of water-related ecosystems,Amount of groundwater in aquifers,Value
2010,Cl. I,,,,,,
2010,Cl. II,,,,,,
2010,Cl. III,,,,,,
2010,Cl. IV,,,,,,
2010,Cl. V,,,,,,
2010,,Total,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2011,Cl. I,,,,,,
2011,Cl. II,,,,,,
2011,Cl. III,,,,,,
2011,Cl. IV,,,,,,
2011,Cl. V,,,,,,
2011,,Total,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2012,Cl. I,,,,,,
2012,Cl. II,,,,,,
2012,Cl. III,,,,,,
2012,Cl. IV,,,,,,
2012,Cl. V,,,,,,
2012,,Total,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2013,Cl. I,,,,,,0.0
2013,Cl. II,,,,,,0.0
2013,Cl. III,,,,,,30.0
2013,Cl. IV,,,,,,16.0
2013,Cl. V,,,,,,53.0
2013,,Total,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2014,Cl. I,,,,,,0.0
2014,Cl. II,,,,,,0.0
2014,Cl. III,,,,,,17.0
2014,Cl. IV,,,,,,26.0
2014,Cl. V,,,,,,57.0
2014,,Total,,,,,
2014,,,,,,,
2014,,,,,,,
2014,,,,,,,
2014,,,,,,,
2015,Cl. I,,,,,,0.0
2015,Cl. II,,,,,,0.0
2015,Cl. III,,,,,,22.0
2015,Cl. IV,,,,,,20.0
2015,Cl. V,,,,,,58.0
2015,,Total,,,,,
2015,,,,,,,
2015,,,,,,,
2015,,,,,,,
2015,,,,,,,
2016,Cl. I,,,,,,0.0
2016,Cl. II,,,,,,0.0
2016,Cl. III,,,,,,24.0
2016,Cl. IV,,,,,,20.0
2016,Cl. V,,,,,,56.0
2016,,Total,,,,,
2016,,,,,,,
2016,,,,,,,
2016,,,,,,,
2016,,,,,,,
2017,Cl. I,,,,,,0.0
2017,Cl. II,,,,,,2.0
2017,Cl. III,,,,,,35.0
2017,Cl. IV,,,,,,12.0
2017,Cl. V,,,,,,51.0
2017,,Total,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2018,Cl. I,,,,,,0.0
2018,Cl. II,,,,,,0.0
2018,Cl. III,,,,,,26.0
2018,Cl. IV,,,,,,21.0
2018,Cl. V,,,,,,52.0
2018,,Total,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
