Year,Value
2010,2.193
2010,0.032
2010,1.249
2010,0.617
2010,0.018
2010,0.496
2010,0.34
2010,0.08
2010,0.018
2010,0.018
2010,0.381
2010,1.47
2010,1.816
2010,0.125
2010,4.523
2010,0.005
2010,0.08
2011,2.039
2011,0.033
2011,1.195
2011,0.729
2011,0.013
2011,0.473
2011,0.311
2011,0.044
2011,0.013
2011,0.013
2011,0.423
2011,1.406
2011,1.778
2011,0.129
2011,4.303
2011,0.004
2011,0.072
2012,1.214
2012,0.03
2012,0.601
2012,0.729
2012,0.024
2012,0.461
2012,0.311
2012,0.037
2012,0.025
2012,0.024
2012,0.51
2012,0.965
2012,1.425
2012,0.12
2012,3.124
2012,0.005
2012,0.089
2013,2.06
2013,0.038
2013,1.159
2013,0.441
2013,0.012
2013,0.373
2013,0.22
2013,0.032
2013,0.012
2013,0.012
2013,0.537
2013,0.915
2013,1.408
2013,0.114
2013,3.853
2013,0.005
2013,0.166
2014,2.203
2014,0.021
2014,1.238
2014,0.666
2014,0.03
2014,0.379
2014,0.249
2014,0.03
2014,0.03
2014,0.03
2014,0.508
2014,0.928
2014,1.397
2014,0.109
2014,4.008
2014,0.004
2014,0.166
2015,2.215
2015,0.026
2015,1.249
2015,0.767
2015,0.031
2015,0.398
2015,0.259
2015,0.032
2015,0.031
2015,0.031
2015,0.563
2015,0.995
2015,1.521
2015,0.113
2015,4.164
2015,0.005
2015,0.167
2016,2.131
2016,0.025
2016,1.201
2016,0.731
2016,0.03
2016,0.382
2016,0.246
2016,0.031
2016,0.03
2016,0.03
2016,0.589
2016,1.014
2016,1.568
2016,0.111
2016,4.111
2016,0.005
2016,0.167
2017,2.049
2017,0.024
2017,1.154
2017,0.693
2017,0.03
2017,0.366
2017,0.233
2017,0.031
2017,
2017,0.03
2017,0.612
2017,1.029
2017,1.608
2017,0.109
2017,4.053
2017,0.004
2017,0.168
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
